path	origin	author_or_holder	derivation	copyright	license	status
scripts/check-catalog-smoke.sh	Forma extraction	Igor Hipólito Vieira	Bounded graphical catalog run and deterministic metrics comparison	Igor Hipólito Vieira	MIT	classified
scripts/test-package-consumer.sh	Forma extraction	Igor Hipólito Vieira	Deterministic font, package-content, symbol, and consumer validation	Igor Hipólito Vieira	MIT	classified
scripts/track-plan.sh	Forma extraction	Igor Hipólito Vieira	Reusable Markdown checklist totals, sections, and remaining-line tracker	Igor Hipólito Vieira	MIT	classified
src/Forma/AdvancedControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of advanced Godot controls	Respective contributors	MIT	classified
src/Forma/ColorControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of Godot color controls	Respective contributors	MIT	classified
src/Forma/Containers.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of Godot layout containers	Respective contributors	MIT	classified
src/Forma/Control.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# retained-tree adaptation of Godot Control	Respective contributors	MIT	classified
src/Forma/Controls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of basic Godot controls	Respective contributors	MIT	classified
src/Forma/FoldableControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptation of Godot FoldableContainer	Respective contributors	MIT	classified
src/Forma/Forma.csproj	Forma extraction	Igor Hipólito Vieira	Standalone library and NuGet package project	Igor Hipólito Vieira	MIT	classified
src/Forma/GraphAndCodeControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of Godot graph and code controls	Respective contributors	MIT	classified
src/Forma/GraphOverlays.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptation of Godot graph minimap behavior	Respective contributors	MIT	classified
src/Forma/MenusAndDialogs.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of Godot menus and dialogs	Respective contributors	MIT	classified
src/Forma/OkColor.cs	Björn Ottosson ok_color via Godot	Björn Ottosson; Godot contributors; Igor Hipólito Vieira	C# adaptation of ok_color as bundled by Godot	Björn Ottosson and respective contributors	MIT	classified
src/Forma/Primitives.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# value types mapped from Godot concepts	Respective contributors	MIT	classified
src/Forma/README.md	zignd/MonoGame 35921960 and Forma extraction	Igor Hipólito Vieira	Retained UI guide rewritten for Forma namespace	Igor Hipólito Vieira	MIT	classified
src/Forma/SelectionControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of Godot selection and text controls	Respective contributors	MIT	classified
src/Forma/SpecializedControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of specialized Godot controls	Respective contributors	MIT	classified
src/Forma/StyleBoxes.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	MonoGame implementation inspired by Godot style boxes	Respective contributors	MIT	classified
src/Forma/Tree.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptation of Godot Tree and TreeItem	Respective contributors	MIT	classified
src/Forma/UIContext.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	Forma coordinator with Godot tooltip traversal adaptation	Respective contributors	MIT	classified
src/Forma/UIRenderContext.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira	Independently authored MonoGame rendering adapter	Igor Hipólito Vieira	MIT	classified
src/Forma/VisualControls.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	C# adaptations of Godot visual and layout controls	Respective contributors	MIT	classified
src/Forma.Media/Forma.Media.csproj	Forma extraction	Igor Hipólito Vieira	Optional stock-compatible media integration package project	Igor Hipólito Vieira	MIT	classified
src/Forma.Media/VideoStreamPlayer.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira; Godot contributors	Video control extraction with stock/fork playback abstraction	Respective contributors	MIT	classified
tests/Assets/Fonts/Catalog.spritefont	zignd/MonoGame 35921960	Igor Hipólito Vieira; IBM Corp.	14px content descriptor using IBM Plex Sans	Igor Hipólito Vieira; IBM Corp.	MIT descriptor; OFL-1.1 font	classified
tests/Assets/Fonts/Catalog.xnb	Forma extraction	IBM Corp.	MGCB 3.8.5 output from Catalog.spritefont and IBM Plex Sans	IBM Corp.	OFL-1.1	classified
tests/Assets/Fonts/Catalog@2x.spritefont	zignd/MonoGame 35921960	Igor Hipólito Vieira; IBM Corp.	28px content descriptor using IBM Plex Sans	Igor Hipólito Vieira; IBM Corp.	MIT descriptor; OFL-1.1 font	classified
tests/Assets/Fonts/Catalog@2x.xnb	Forma extraction	IBM Corp.	MGCB 3.8.5 output from Catalog@2x.spritefont and IBM Plex Sans	IBM Corp.	OFL-1.1	classified
tests/Assets/Fonts/IBMPlexSans-Regular-License-OFL.txt	IBM Plex Sans distribution	IBM Corp.	Complete SIL Open Font License 1.1 text	IBM Corp.	OFL-1.1	classified
tests/Assets/Fonts/IBMPlexSans-Regular.ttf	IBM Plex Sans distribution	IBM Corp.	Unmodified IBM Plex Sans Regular source font	IBM Corp.	OFL-1.1	classified
tests/Forma.PackageConsumer/Forma.PackageConsumer.csproj	Forma extraction	Igor Hipólito Vieira	External packed-package consumer project	Igor Hipólito Vieira	MIT	classified
tests/Forma.PackageConsumer/Program.cs	Forma extraction	Igor Hipólito Vieira	Public API package-consumer smoke program	Igor Hipólito Vieira	MIT	classified
tests/Forma.RenderTests/Forma.RenderTests.csproj	Forma extraction	Igor Hipólito Vieira	Standalone rendering test project and font inputs	Igor Hipólito Vieira	MIT	classified
tests/Forma.RenderTests/GraphicsDeviceTestFixtureBase.cs	MonoGame test fixture	MonoGame Foundation contributors	Reduced adaptation of MonoGame graphics-device test fixture	MonoGame Foundation, Inc.	MS-PL	classified
tests/Forma.RenderTests/UIRenderTest.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira	Retained rendering tests adapted to isolated host and macOS policy	Igor Hipólito Vieira	MIT	classified
tests/Forma.Tests/CatalogInventoryTest.cs	Forma extraction	Igor Hipólito Vieira	Catalog story completeness test	Igor Hipólito Vieira	MIT	classified
tests/Forma.Tests/Forma.Tests.csproj	Forma extraction	Igor Hipólito Vieira	Standalone unit and inventory test project	Igor Hipólito Vieira	MIT	classified
tests/Forma.Tests/UITest.cs	zignd/MonoGame 35921960	Igor Hipólito Vieira	Retained behavioral tests with stock-compatible headless helpers	Igor Hipólito Vieira	MIT	classified
tools/Forma.ApiInventory/Forma.ApiInventory.csproj	Forma extraction	Igor Hipólito Vieira	Development-only PublicApiGenerator tool project	Igor Hipólito Vieira	MIT	classified
tools/Forma.ApiInventory/Program.cs	Forma extraction	Igor Hipólito Vieira	Deterministic namespace-scoped public API inventory generator	Igor Hipólito Vieira	MIT	classified
